participant_id,test_type,pattern_name,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,runs_attempted,successful_runs,reached_criterion,run_of_criterion_or_max,final_response_sequence
7,single_finger,single_trial_02,ring,s,1,1,1,True,1,s
7,single_finger,single_trial_03,middle,d,2,1,1,True,1,d
7,single_finger,single_trial_05,thumb,space,4,1,1,True,1,space
7,single_finger,single_trial_04,index,f,3,1,1,True,1,f
7,single_finger,single_trial_01,pinky,a,0,5,1,True,5,a
7,consistency,consistency_trial_09,index,f,3,1,1,True,1,f
7,consistency,consistency_trial_03,middle,d,2,1,1,True,1,d
7,consistency,consistency_trial_01,pinky,a,0,1,1,True,1,a
7,consistency,consistency_trial_10,thumb,space,4,1,1,True,1,space
7,consistency,consistency_trial_02,ring,s,1,1,1,True,1,s
7,consistency,consistency_trial_07,ring,s,1,1,1,True,1,s
7,consistency,consistency_trial_05,thumb,space,4,1,1,True,1,space
7,consistency,consistency_trial_04,index,f,3,2,1,True,2,f
7,consistency,consistency_trial_06,pinky,a,0,5,1,True,5,a
7,consistency,consistency_trial_08,middle,d,2,1,1,True,1,d
7,sequence,sequence_trial_07,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,5,0,False,5,a-d-s
7,sequence,sequence_trial_01,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,5,0,False,5,space
7,sequence,sequence_trial_03,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,5,0,False,5,f-space-a-a-space
7,sequence,sequence_trial_05,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,5,0,False,5,s-d-f-space-f
7,sequence,sequence_trial_06,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,5,0,False,5,
7,sequence,sequence_trial_02,thumb-index-middle-ring-pinky,space-f-d-s-a,4-3-2-1-0,5,0,False,5,d-f-space-a-s
7,sequence,sequence_trial_04,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,5,0,False,5,space-a-d-s-f
7,sequence,sequence_trial_08,thumb-ring-index-middle-pinky,space-s-f-d-a,4-1-3-2-0,5,0,False,5,space-s-d-a-space
